2, 4.537;30.06.2019
3, 4.558;01.07.2019
4, 4.579;02.07.2019
5, 4.601;03.07.2019
6, 4.622;04.07.2019
7, 4.54;05.07.2019
8, 4.426;06.07.2019
9, 4.412;07.07.2019
10, 4.471;08.07.2019
11, 4.529;09.07.2019
12, 4.588;10.07.2019
13, 4.646;11.07.2019
14, 4.559;12.07.2019
15, 4.456;13.07.2019
16, 4.428;14.07.2019
17, 4.428;15.07.2019
18, 4.428;16.07.2019
19, 4.428;17.07.2019
20, 4.428;18.07.2019
21, 4.428;19.07.2019
22, 4.33;20.07.2019
23, 4.202;21.07.2019
24, 4.294;22.07.2019
25, 4.386;23.07.2019
26, 4.478;24.07.2019
27, 4.539;25.07.2019
28, 4.469;26.07.2019
29, 4.399;27.07.2019
30, 4.412;28.07.2019
31, 4.461;29.07.2019
32, 4.51;30.07.2019
33, 4.559;31.07.2019
34, 4.607;01.08.2019
35, 4.623;02.08.2019
36, 4.354;03.08.2019
37, 4.359;04.08.2019
38, 4.363;05.08.2019
39, 4.368;06.08.2019
40, 4.373;07.08.2019
41, 4.377;08.08.2019
42, 4.416;09.08.2019
43, 4.46;10.08.2019
44, 4.503;11.08.2019
45, 4.547;12.08.2019
46, 4.591;13.08.2019
47, 4.635;14.08.2019
48, 4.619;15.08.2019
49, 4.565;16.08.2019
50, 4.512;17.08.2019
51, 4.512;18.08.2019
52, 4.523;19.08.2019
53, 4.535;20.08.2019
54, 4.546;21.08.2019
55, 4.557;22.08.2019
56, 4.569;23.08.2019
57, 4.558;24.08.2019
58, 4.488;25.08.2019
59, 4.419;26.08.2019
60, 4.533;27.08.2019
61, 4.7;28.08.2019
62, 4.866;29.08.2019
63, 4.926;30.08.2019
64, 4.785;31.08.2019
65, 4.644;01.09.2019
66, 4.502;02.09.2019
67, 4.413;03.09.2019
68, 4.447;04.09.2019
69, 4.482;05.09.2019
70, 4.516;06.09.2019
71, 4.55;07.09.2019
72, 4.584;08.09.2019
73, 4.618;09.09.2019
74, 4.679;10.09.2019
75, 4.749;11.09.2019
76, 4.789;12.09.2019
77, 4.744;13.09.2019
78, 4.698;14.09.2019
79, 4.652;15.09.2019
80, 4.607;16.09.2019
81, 4.638;17.09.2019
82, 4.678;18.09.2019
83, 4.717;19.09.2019
84, 4.757;20.09.2019
85, 4.797;21.09.2019
86, 4.794;22.09.2019
87, 4.683;23.09.2019
88, 4.751;24.09.2019
89, 4.888;25.09.2019
90, 4.933;26.09.2019
91, 4.901;27.09.2019
92, 4.869;28.09.2019
93, 4.837;29.09.2019
94, 4.805;30.09.2019
95, 4.842;01.10.2019
96, 4.89;02.10.2019
97, 4.938;03.10.2019
98, 4.986;04.10.2019
99, 5.034;05.10.2019
100, 5.082;06.10.2019
101, 5.103;07.10.2019
102, 5.108;08.10.2019
103, 5.114;09.10.2019
104, 5.119;10.10.2019
105, 5.124;11.10.2019
106, 5.117;12.10.2019
107, 5.109;13.10.2019
108, 5.101;14.10.2019
109, 5.093;15.10.2019
110, 5.085;16.10.2019
111, 5.077;17.10.2019
112, 5.033;18.10.2019
113, 4.976;19.10.2019
114, 4.919;20.10.2019
115, 4.862;21.10.2019
116, 4.847;22.10.2019
117, 4.907;23.10.2019
118, 4.967;24.10.2019
119, 5.027;25.10.2019
120, 5.087;26.10.2019
121, 5.131;27.10.2019
122, 5.15;28.10.2019
123, 5.169;29.10.2019
124, 5.188;30.10.2019
125, 5.206;31.10.2019
126, 5.218;01.11.2019
127, 5.138;02.11.2019
128, 5.058;03.11.2019
129, 4.979;04.11.2019
130, 4.935;05.11.2019
131, 4.963;06.11.2019
132, 4.991;07.11.2019
133, 5.019;08.11.2019
134, 5.047;09.11.2019
135, 5.069;10.11.2019
136, 4.91;11.11.2019
137, 4.926;12.11.2019
138, 4.99;13.11.2019
139, 5.054;14.11.2019
140, 5.117;15.11.2019
141, 5.162;16.11.2019
142, 5.056;17.11.2019
143, 4.949;18.11.2019
144, 4.899;19.11.2019
145, 4.973;20.11.2019
146, 5.048;21.11.2019
147, 5.123;22.11.2019
148, 5.198;23.11.2019
149, 5.202;24.11.2019
150, 5.056;25.11.2019
151, 5.007;26.11.2019
152, 5.078;27.11.2019
153, 5.149;28.11.2019
154, 5.22;29.11.2019
155, 5.291;30.11.2019
156, 5.362;01.12.2019
157, 5.146;02.12.2019
158, 4.979;03.12.2019
159, 5.08;04.12.2019
160, 5.181;05.12.2019
161, 5.282;06.12.2019
162, 5.383;07.12.2019
163, 5.338;08.12.2019
164, 5.199;09.12.2019
165, 5.168;10.12.2019
166, 5.573;11.12.2019
167, 5.524;12.12.2019
168, 5.475;13.12.2019
169, 5.426;14.12.2019
170, 5.276;15.12.2019
171, 5.062;16.12.2019
172, 5.127;17.12.2019
173, 5.193;18.12.2019
174, 5.258;19.12.2019
175, 5.323;20.12.2019
176, 5.389;21.12.2019
177, 5.454;22.12.2019
178, 5.392;23.12.2019
179, 5.073;24.12.2019
180, 5.028;25.12.2019
181, 5.064;26.12.2019
182, 5.1;27.12.2019
183, 5.135;28.12.2019
184, 5.171;29.12.2019
185, 5.207;30.12.2019
186, 4.858;31.12.2019
187, 5.093;01.01.2020
188, 5.396;02.01.2020
189, 5.363;03.01.2020
190, 5.329;04.01.2020
191, 5.295;05.01.2020
192, 5.261;06.01.2020
193, 5.228;07.01.2020
194, 5.194;08.01.2020
195, 5.16;09.01.2020
196, 5.126;10.01.2020
197, 5.157;11.01.2020
198, 5.192;12.01.2020
